year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
2006,historical,Indian,-6.4,-1.62,-0.89,0.53,2.15,"Year: 2006
Mean change: -1.6%
SD: ±2.1%"
2006,historical,Pacific,-7.35,-0.1,-0.54,4.77,3.7,"Year: 2006
Mean change: -0.1%
SD: ±3.7%"
2007,historical,Atlantic,-2.78,0.71,0.27,4.86,2.32,"Year: 2007
Mean change: 0.7%
SD: ±2.3%"
2007,historical,Indian,-2.78,2.11,1.67,9.33,3.67,"Year: 2007
Mean change: 2.1%
SD: ±3.7%"
2007,historical,Pacific,-8.51,-1.75,-1.37,1.84,2.87,"Year: 2007
Mean change: -1.8%
SD: ±2.9%"
2008,historical,Atlantic,-2.08,0.4,-0,3.3,1.57,"Year: 2008
Mean change: 0.4%
SD: ±1.6%"
2008,historical,Indian,-1.29,1.18,1.12,3.62,1.65,"Year: 2008
Mean change: 1.2%
SD: ±1.6%"
2008,historical,Pacific,-7.61,-0.8,0.21,2.26,3.2,"Year: 2008
Mean change: -0.8%
SD: ±3.2%"
2009,historical,Atlantic,0.12,2.16,1.24,6.19,2.23,"Year: 2009
Mean change: 2.2%
SD: ±2.2%"
2009,historical,Indian,-2.71,0.87,0.76,3.31,1.86,"Year: 2009
Mean change: 0.9%
SD: ±1.9%"
2009,historical,Pacific,-0.77,2.5,2.32,8.05,2.64,"Year: 2009
Mean change: 2.5%
SD: ±2.6%"
2010,historical,Atlantic,-0.53,1.87,1.07,5.86,2.03,"Year: 2010
Mean change: 1.9%
SD: ±2%"
2010,historical,Indian,-7.23,-0.2,1.09,3.99,4,"Year: 2010
Mean change: -0.2%
SD: ±4%"
2010,historical,Pacific,-2.05,1.73,0.45,8.3,3.49,"Year: 2010
Mean change: 1.7%
SD: ±3.5%"
2011,historical,Atlantic,-6.29,-0.6,-0.05,4.81,2.97,"Year: 2011
Mean change: -0.6%
SD: ±3%"
2011,historical,Indian,-4.01,-0.12,0.06,2.6,2.09,"Year: 2011
Mean change: -0.1%
SD: ±2.1%"
2011,historical,Pacific,-4.2,0.01,-0.23,5.41,2.39,"Year: 2011
Mean change: 0%
SD: ±2.4%"
2012,historical,Atlantic,-3.82,-0.24,-0.13,3.03,1.8,"Year: 2012
Mean change: -0.2%
SD: ±1.8%"
2012,historical,Indian,-2.9,0.32,0.08,2.56,1.69,"Year: 2012
Mean change: 0.3%
SD: ±1.7%"
2012,historical,Pacific,-1.97,0.25,-0.5,4.71,2.03,"Year: 2012
Mean change: 0.2%
SD: ±2%"
2013,historical,Atlantic,-6.33,-0.05,-0.32,6.55,4.32,"Year: 2013
Mean change: 0%
SD: ±4.3%"
2013,historical,Indian,-3.77,-0.18,-0.03,2.37,1.85,"Year: 2013
Mean change: -0.2%
SD: ±1.9%"
2013,historical,Pacific,-4.43,-0.45,-1.02,5.38,2.83,"Year: 2013
Mean change: -0.4%
SD: ±2.8%"
2014,historical,Atlantic,-3.77,-0.16,-0.32,2.81,1.71,"Year: 2014
Mean change: -0.2%
SD: ±1.7%"
2014,historical,Indian,-2.38,-0.21,-0.32,2.39,1.47,"Year: 2014
Mean change: -0.2%
SD: ±1.5%"
2014,historical,Pacific,-6.8,-0.4,-0.44,4.05,3.29,"Year: 2014
Mean change: -0.4%
SD: ±3.3%"
2015,ssp126,Atlantic,-3.84,-0.85,-0.65,3.36,2.01,"Year: 2015
Mean change: -0.8%
SD: ±2%"
2015,ssp126,Indian,-2.08,-0.51,-0.5,2.3,1.15,"Year: 2015
Mean change: -0.5%
SD: ±1.1%"
2015,ssp126,Pacific,-6.25,-1.5,-2.32,4.01,3.37,"Year: 2015
Mean change: -1.5%
SD: ±3.4%"
2015,ssp585,Atlantic,-4.83,-0.56,-0.42,5.41,3.24,"Year: 2015
Mean change: -0.6%
SD: ±3.2%"
2015,ssp585,Indian,-3.19,-0.82,-0.84,2.28,1.47,"Year: 2015
Mean change: -0.8%
SD: ±1.5%"
2015,ssp585,Pacific,-9.41,-2.17,-2.47,3.86,4.47,"Year: 2015
Mean change: -2.2%
SD: ±4.5%"
2016,ssp126,Atlantic,-0.87,0.45,-0.1,2.98,1.34,"Year: 2016
Mean change: 0.4%
SD: ±1.3%"
2016,ssp126,Indian,-5.03,-1.21,-0.85,1.99,1.95,"Year: 2016
Mean change: -1.2%
SD: ±2%"
2016,ssp126,Pacific,-4.16,0.45,0.34,7.78,3.62,"Year: 2016
Mean change: 0.4%
SD: ±3.6%"
2016,ssp585,Atlantic,-8.45,-2.26,-1.27,3.64,3.36,"Year: 2016
Mean change: -2.3%
SD: ±3.4%"
2016,ssp585,Indian,-8.78,-3.12,-3.43,2.3,3.05,"Year: 2016
Mean change: -3.1%
SD: ±3%"
2016,ssp585,Pacific,-5.6,-0.74,-0.4,4.63,3.04,"Year: 2016
Mean change: -0.7%
SD: ±3%"
2017,ssp126,Atlantic,-12.88,-2.7,-1.17,1.31,4.06,"Year: 2017
Mean change: -2.7%
SD: ±4.1%"
2017,ssp126,Indian,-10.83,-4.58,-4.85,1.26,3.84,"Year: 2017
Mean change: -4.6%
SD: ±3.8%"
2017,ssp126,Pacific,-10.31,-1.31,-1.99,4.96,4.57,"Year: 2017
Mean change: -1.3%
SD: ±4.6%"
