year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
2088,ssp585,Indian,-16.69,-7.27,-8.52,5.03,6.75,"Year: 2088
Mean change: -7.3%
SD: ±6.8%"
2088,ssp585,Pacific,-27.37,-5.42,-3.71,9.43,10.64,"Year: 2088
Mean change: -5.4%
SD: ±10.6%"
2089,ssp126,Atlantic,-17.73,-4.58,-3.14,5.06,6.06,"Year: 2089
Mean change: -4.6%
SD: ±6.1%"
2089,ssp126,Indian,-10.4,-4.38,-4.34,4.09,3.84,"Year: 2089
Mean change: -4.4%
SD: ±3.8%"
2089,ssp126,Pacific,-24.53,-9.08,-8.89,0.01,7.1,"Year: 2089
Mean change: -9.1%
SD: ±7.1%"
2089,ssp585,Atlantic,-18.79,-3.18,-2.66,13.56,8.32,"Year: 2089
Mean change: -3.2%
SD: ±8.3%"
2089,ssp585,Indian,-16.98,-8.07,-9.41,5.34,6.85,"Year: 2089
Mean change: -8.1%
SD: ±6.8%"
2089,ssp585,Pacific,-27.53,-6.16,-6.51,7.98,10.7,"Year: 2089
Mean change: -6.2%
SD: ±10.7%"
2090,ssp126,Atlantic,-18.41,-5.02,-4.33,2.55,5.96,"Year: 2090
Mean change: -5%
SD: ±6%"
2090,ssp126,Indian,-10.55,-3.86,-4.19,5.15,3.85,"Year: 2090
Mean change: -3.9%
SD: ±3.9%"
2090,ssp126,Pacific,-25.37,-8.67,-9.36,0.96,7.2,"Year: 2090
Mean change: -8.7%
SD: ±7.2%"
2090,ssp585,Atlantic,-18.67,-2.25,-2.75,14.18,8.78,"Year: 2090
Mean change: -2.2%
SD: ±8.8%"
2090,ssp585,Indian,-16.32,-7.05,-8.46,4.82,7.31,"Year: 2090
Mean change: -7%
SD: ±7.3%"
2090,ssp585,Pacific,-27.65,-6.79,-5.43,9.3,10.38,"Year: 2090
Mean change: -6.8%
SD: ±10.4%"
2091,ssp126,Atlantic,-19.12,-3.05,-1.88,5.42,6.82,"Year: 2091
Mean change: -3%
SD: ±6.8%"
2091,ssp126,Indian,-10.66,-3.09,-3.3,5.88,4.95,"Year: 2091
Mean change: -3.1%
SD: ±5%"
2091,ssp126,Pacific,-26.23,-8.16,-6.41,1.46,7.92,"Year: 2091
Mean change: -8.2%
SD: ±7.9%"
2091,ssp585,Atlantic,-18.77,-2.61,-2.78,15.73,9.67,"Year: 2091
Mean change: -2.6%
SD: ±9.7%"
2091,ssp585,Indian,-16.76,-7.05,-8.31,5.87,7.63,"Year: 2091
Mean change: -7%
SD: ±7.6%"
2091,ssp585,Pacific,-27.73,-5.02,-2.01,11.53,11.06,"Year: 2091
Mean change: -5%
SD: ±11.1%"
2092,ssp126,Atlantic,-19.62,-3.45,-2.13,1.58,6.09,"Year: 2092
Mean change: -3.5%
SD: ±6.1%"
2092,ssp126,Indian,-10.76,-4.31,-4.08,3.73,3.89,"Year: 2092
Mean change: -4.3%
SD: ±3.9%"
2092,ssp126,Pacific,-26.97,-9.19,-5.73,-1.2,8.01,"Year: 2092
Mean change: -9.2%
SD: ±8%"
2092,ssp585,Atlantic,-19.21,-2.17,-2.12,16.36,9.73,"Year: 2092
Mean change: -2.2%
SD: ±9.7%"
2092,ssp585,Indian,-17.95,-7.61,-9.11,5.86,7.92,"Year: 2092
Mean change: -7.6%
SD: ±7.9%"
2092,ssp585,Pacific,-27.9,-6.21,-7.53,13.93,11.53,"Year: 2092
Mean change: -6.2%
SD: ±11.5%"
2093,ssp126,Atlantic,-19.52,-1.21,-0.66,7.44,7.32,"Year: 2093
Mean change: -1.2%
SD: ±7.3%"
2093,ssp126,Indian,-10.85,-3.43,-3.04,2.68,3.45,"Year: 2093
Mean change: -3.4%
SD: ±3.5%"
2093,ssp126,Pacific,-27.6,-7.91,-5.21,2.36,9.06,"Year: 2093
Mean change: -7.9%
SD: ±9.1%"
2093,ssp585,Atlantic,-19.7,-1.6,-1.23,15.83,9.46,"Year: 2093
Mean change: -1.6%
SD: ±9.5%"
2093,ssp585,Indian,-15.85,-6.3,-8.46,9.33,8.54,"Year: 2093
Mean change: -6.3%
SD: ±8.5%"
2093,ssp585,Pacific,-28.07,-5.23,-2.96,12.23,11.25,"Year: 2093
Mean change: -5.2%
SD: ±11.2%"
2094,ssp126,Atlantic,-19.1,-3.28,-2.85,2.92,6.8,"Year: 2094
Mean change: -3.3%
SD: ±6.8%"
2094,ssp126,Indian,-10.82,-4.46,-4.56,2.9,3.97,"Year: 2094
Mean change: -4.5%
SD: ±4%"
2094,ssp126,Pacific,-28.09,-8.11,-5.73,2.75,8.62,"Year: 2094
Mean change: -8.1%
SD: ±8.6%"
2094,ssp585,Atlantic,-20.04,-1.56,-0.65,13.98,9.17,"Year: 2094
Mean change: -1.6%
SD: ±9.2%"
2094,ssp585,Indian,-18.09,-6.69,-7.72,10.02,9.3,"Year: 2094
Mean change: -6.7%
SD: ±9.3%"
2094,ssp585,Pacific,-28.08,-6.1,-3.85,8.14,10.59,"Year: 2094
Mean change: -6.1%
SD: ±10.6%"
2095,ssp126,Atlantic,-18.88,-1.48,-2.41,7.7,7.7,"Year: 2095
Mean change: -1.5%
SD: ±7.7%"
2095,ssp126,Indian,-10.83,-3.32,-3.11,1.69,4.05,"Year: 2095
Mean change: -3.3%
SD: ±4%"
2095,ssp126,Pacific,-28.49,-9.93,-8.84,-0.62,7.42,"Year: 2095
Mean change: -9.9%
SD: ±7.4%"
2095,ssp585,Atlantic,-20.33,-3.11,-2.94,12.59,9.09,"Year: 2095
Mean change: -3.1%
SD: ±9.1%"
2095,ssp585,Indian,-16.71,-7.17,-9.54,7.04,8.18,"Year: 2095
Mean change: -7.2%
SD: ±8.2%"
2095,ssp585,Pacific,-28.1,-6.86,-5.7,6.39,9.87,"Year: 2095
Mean change: -6.9%
SD: ±9.9%"
2096,ssp126,Atlantic,-18.78,-3.43,-2.61,6.09,6.78,"Year: 2096
Mean change: -3.4%
SD: ±6.8%"
2096,ssp126,Indian,-12.47,-5.03,-4.34,2.64,5.3,"Year: 2096
Mean change: -5%
SD: ±5.3%"
2096,ssp126,Pacific,-28.67,-6.52,-4.93,5.49,10.05,"Year: 2096
Mean change: -6.5%
SD: ±10.1%"
2096,ssp585,Atlantic,-20.82,-3.94,-3,12.71,9.04,"Year: 2096
Mean change: -3.9%
SD: ±9%"
2096,ssp585,Indian,-19.63,-8.15,-9.61,8.42,8.86,"Year: 2096
Mean change: -8.2%
SD: ±8.9%"
2096,ssp585,Pacific,-28.3,-7.27,-6.26,3.94,9.6,"Year: 2096
Mean change: -7.3%
SD: ±9.6%"
2097,ssp126,Atlantic,-18.69,-5.39,-5.02,6.45,6.18,"Year: 2097
Mean change: -5.4%
SD: ±6.2%"
2097,ssp126,Indian,-13.21,-6.75,-5.98,1.88,4.34,"Year: 2097
Mean change: -6.8%
SD: ±4.3%"
2097,ssp126,Pacific,-28.7,-10.51,-10.45,2.53,8.24,"Year: 2097
Mean change: -10.5%
SD: ±8.2%"
2097,ssp585,Atlantic,-21.33,-1.3,-1.27,12.64,11,"Year: 2097
Mean change: -1.3%
SD: ±11%"
2097,ssp585,Indian,-19.92,-8.04,-8.24,9.91,9.19,"Year: 2097
Mean change: -8%
SD: ±9.2%"
2097,ssp585,Pacific,-28.68,-9.17,-7.29,0.56,8.81,"Year: 2097
Mean change: -9.2%
SD: ±8.8%"
2098,ssp126,Atlantic,-18.81,-5.06,-3.84,5.34,6.04,"Year: 2098
Mean change: -5.1%
SD: ±6%"
2098,ssp126,Indian,-13.07,-6.4,-5.86,2.98,4.96,"Year: 2098
Mean change: -6.4%
SD: ±5%"
2098,ssp126,Pacific,-28.56,-8.33,-8.24,1.69,8.88,"Year: 2098
Mean change: -8.3%
SD: ±8.9%"
2098,ssp585,Atlantic,-21.77,-2.52,-2.82,13.34,10.71,"Year: 2098
Mean change: -2.5%
SD: ±10.7%"
2098,ssp585,Indian,-22.12,-8.59,-9.01,11.01,9.74,"Year: 2098
Mean change: -8.6%
SD: ±9.7%"
2098,ssp585,Pacific,-29.18,-7.84,-6.34,9.85,10.64,"Year: 2098
Mean change: -7.8%
SD: ±10.6%"
2099,ssp126,Atlantic,-18.97,-1.57,-2.18,9.28,7.5,"Year: 2099
Mean change: -1.6%
SD: ±7.5%"
2099,ssp126,Indian,-11.71,-5.52,-4.94,0.58,3.78,"Year: 2099
Mean change: -5.5%
SD: ±3.8%"
2099,ssp126,Pacific,-28.3,-7.8,-5.3,1.66,8.42,"Year: 2099
Mean change: -7.8%
SD: ±8.4%"
2099,ssp585,Atlantic,-22.09,-3.82,-2.79,15.8,10.04,"Year: 2099
Mean change: -3.8%
SD: ±10%"
2099,ssp585,Indian,-22.88,-9.93,-10.05,6.08,8.76,"Year: 2099
Mean change: -9.9%
SD: ±8.8%"
2099,ssp585,Pacific,-29.7,-8.12,-7.22,8.48,10.81,"Year: 2099
Mean change: -8.1%
SD: ±10.8%"
2100,ssp126,Atlantic,-18.98,-4.05,-4.25,8.29,7.33,"Year: 2100
Mean change: -4%
SD: ±7.3%"
2100,ssp126,Indian,-11.54,-5.49,-5.07,-0.04,3.07,"Year: 2100
Mean change: -5.5%
SD: ±3.1%"
2100,ssp126,Pacific,-27.98,-7.18,-6.26,4.42,8.72,"Year: 2100
Mean change: -7.2%
SD: ±8.7%"
2100,ssp585,Atlantic,-22.29,-3.09,-3.26,18.39,10.32,"Year: 2100
Mean change: -3.1%
SD: ±10.3%"
2100,ssp585,Indian,-19.19,-9.51,-12.96,8.12,9.24,"Year: 2100
Mean change: -9.5%
SD: ±9.2%"
2100,ssp585,Pacific,-30.27,-7.67,-5.75,14.34,11.7,"Year: 2100
Mean change: -7.7%
SD: ±11.7%"
