year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2047,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-22.03,-5.18,-5.85,6.55,8.38
2048,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.48,-4.56,-4.15,2.53,5.26
2048,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-21.41,-6.28,-6.73,3.4,7.41
2049,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.79,-4.9,-4.57,4.5,6.01
2049,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-20.4,-6.59,-6.42,1.84,6.76
2050,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.28,-4.62,-4.08,4.55,5.18
2050,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-26.19,-7.22,-7.15,5.27,8.7
2051,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-14.45,-5.52,-4.5,0.26,4.93
2051,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-22.15,-6.75,-6.38,6.11,8.71
2052,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.16,-4.95,-4.6,3.92,4.9
2052,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-24.17,-8,-7.24,2.05,7.64
2053,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.47,-3.88,-2.99,3.76,5.8
2053,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-22.65,-8.01,-8.41,0.39,6.49
2054,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.62,-4.67,-3.77,4.59,6.2
2054,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-19.84,-6.69,-6.23,4.57,7.93
2055,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.39,-4.88,-5.79,4.71,6.45
2055,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-23.53,-8.69,-8.26,1.57,8.4
2056,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.06,-4.7,-5.53,3.53,4.52
2056,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-15.69,-5.65,-7.36,7.77,7.19
2057,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.26,-5.63,-5.04,-0.04,4.91
2057,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-20.29,-7.67,-7.36,1.23,6.18
2058,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.79,-5.95,-6.52,3.83,5.22
2058,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-16.28,-6.47,-5.12,3.5,5.89
2059,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.76,-5.35,-5.68,3.19,5.49
2059,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-16.57,-6.8,-6.95,2.36,6.07
2060,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-20.04,-5.99,-6.77,7.09,7.69
2060,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-16.9,-6.31,-4.83,5.15,6.63
2061,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.48,-4.42,-4.85,6.83,5.94
2061,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-26.2,-8.85,-8.35,-0.05,7.82
2062,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.31,-4.31,-6.92,4.55,4.97
2062,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-26.11,-8.72,-8.24,7.75,9.09
2063,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-11.38,-5.34,-5.96,2.25,4.18
2063,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-23.5,-8.72,-8.97,3.34,8.94
2064,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9.49,-4.9,-6.27,1.42,3.53
2064,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-26.91,-10.48,-10.01,1.28,8.36
2065,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-12.36,-5.37,-5.73,-0.16,3.75
2065,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-25.41,-9.1,-9.59,4.24,8.9
2066,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-8.92,-3.94,-4.57,3.57,3.85
2066,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-33.23,-9.96,-11.35,4.84,10.75
2067,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-20.42,-7.37,-6.68,2.65,6.6
2067,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-18.7,-8.43,-8.68,3.44,7.15
2068,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.7,-7.75,-7.68,-0.11,5.58
2068,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-23.43,-10.02,-9.88,4.27,8.39
2069,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-15.26,-6.48,-7.01,0.33,4.89
2069,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-28.04,-12.33,-11.8,0.78,9.39
2070,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-11.2,-4.44,-4.22,1.47,3.85
2070,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-25.32,-11.25,-11.25,3.59,9.42
2071,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-8.97,-3.82,-3.83,2.07,3.39
2071,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-29.5,-12.4,-11.97,1.55,9.84
2072,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-9,-4.06,-4.26,3.92,4.24
2072,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-28.86,-12.34,-12.11,0.08,9.95
2073,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-13.07,-6.82,-5.97,-0.94,4.43
2073,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-28.93,-10.88,-10.76,4.32,10.62
2074,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-25.43,-6.32,-4.35,3.63,7.96
2074,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-32.64,-12.72,-12.32,5.56,11.73
2075,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.56,-5.02,-4.09,4.04,5.53
2075,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-30.66,-12.66,-12.66,4.95,10.63
2076,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-17.53,-4.62,-4.04,3.97,6.25
2076,ssp585,Africa,the Kerguelen Islands,Kerguelen Islands,-25.62,-9.87,-11.29,9.94,10.56
2077,ssp126,Africa,the Kerguelen Islands,Kerguelen Islands,-16.48,-6.21,-5.42,-0.15,5.74
