year,scenario,so,min_change,mean_change,median_change,max_change,sd_change,tooltip
2029,ssp585,Southern Ocean,-3.08,-0.79,-1.18,3.17,2.01,"Year: 2029
Mean change: -0.8%
SD: ±2%"
2030,ssp126,Southern Ocean,-4.78,-2.16,-2.78,4.16,2.49,"Year: 2030
Mean change: -2.2%
SD: ±2.5%"
2030,ssp585,Southern Ocean,-5.66,-1.18,-1.31,1.94,2.16,"Year: 2030
Mean change: -1.2%
SD: ±2.2%"
2031,ssp126,Southern Ocean,-4.26,-1.74,-2.4,4.58,2.53,"Year: 2031
Mean change: -1.7%
SD: ±2.5%"
2031,ssp585,Southern Ocean,-7.42,-2.27,-1.65,1.36,2.72,"Year: 2031
Mean change: -2.3%
SD: ±2.7%"
2032,ssp126,Southern Ocean,-3.84,-1.11,-1.18,2.43,2.4,"Year: 2032
Mean change: -1.1%
SD: ±2.4%"
2032,ssp585,Southern Ocean,-5.2,-2.74,-2.6,0.58,1.75,"Year: 2032
Mean change: -2.7%
SD: ±1.8%"
2033,ssp126,Southern Ocean,-4.41,-2.09,-2.42,1.09,1.91,"Year: 2033
Mean change: -2.1%
SD: ±1.9%"
2033,ssp585,Southern Ocean,-4.55,-2.17,-2.39,1.78,2,"Year: 2033
Mean change: -2.2%
SD: ±2%"
2034,ssp126,Southern Ocean,-3.39,-1.25,-1.54,2.48,1.66,"Year: 2034
Mean change: -1.2%
SD: ±1.7%"
2034,ssp585,Southern Ocean,-5.12,-2.03,-2.14,1.52,2.2,"Year: 2034
Mean change: -2%
SD: ±2.2%"
2035,ssp126,Southern Ocean,-5.17,-2.4,-3.18,3.54,2.5,"Year: 2035
Mean change: -2.4%
SD: ±2.5%"
2035,ssp585,Southern Ocean,-2.93,-1.2,-1.56,1.57,1.33,"Year: 2035
Mean change: -1.2%
SD: ±1.3%"
2036,ssp126,Southern Ocean,-3.38,-0.71,-1.51,4.37,2.6,"Year: 2036
Mean change: -0.7%
SD: ±2.6%"
2036,ssp585,Southern Ocean,-2.68,-1.04,-1.84,1.6,1.56,"Year: 2036
Mean change: -1%
SD: ±1.6%"
2037,ssp126,Southern Ocean,-3.26,-1.26,-1.38,1.55,1.67,"Year: 2037
Mean change: -1.3%
SD: ±1.7%"
2037,ssp585,Southern Ocean,-2.62,-0.65,-1.13,3,1.86,"Year: 2037
Mean change: -0.7%
SD: ±1.9%"
2038,ssp126,Southern Ocean,-5.79,-1.43,-1.68,3.31,2.52,"Year: 2038
Mean change: -1.4%
SD: ±2.5%"
2038,ssp585,Southern Ocean,-4.39,-1.3,-1.51,1.39,1.99,"Year: 2038
Mean change: -1.3%
SD: ±2%"
2039,ssp126,Southern Ocean,-4.02,-1.09,-1.66,4.51,2.65,"Year: 2039
Mean change: -1.1%
SD: ±2.6%"
2039,ssp585,Southern Ocean,-6.74,-1.99,-2.12,1.11,2.57,"Year: 2039
Mean change: -2%
SD: ±2.6%"
2040,ssp126,Southern Ocean,-5.01,-1,-2.58,4.03,3.52,"Year: 2040
Mean change: -1%
SD: ±3.5%"
