year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1964,historical,SOSS,-19.52,0.89,-0.84,27.2,14.51,"Year: 1964
Mean change: 0.9%
SD: ±14.5%"
1964,historical,SRZ,-30.27,6.08,7.11,31.82,16.12,"Year: 1964
Mean change: 6.1%
SD: ±16.1%"
1965,historical,GPZi,-18.03,-1.69,0.89,9.43,8.72,"Year: 1965
Mean change: -1.7%
SD: ±8.7%"
1965,historical,GPZii,-15.32,-3.47,-1.96,3.19,6.01,"Year: 1965
Mean change: -3.5%
SD: ±6%"
1965,historical,GPZiii,-39.71,-4.78,-5.43,15.88,15.68,"Year: 1965
Mean change: -4.8%
SD: ±15.7%"
1965,historical,KRZ,-28.27,3.86,5.5,33.09,16.33,"Year: 1965
Mean change: 3.9%
SD: ±16.3%"
1965,historical,SOSS,-10.16,1.54,0.83,18.35,9.8,"Year: 1965
Mean change: 1.5%
SD: ±9.8%"
1965,historical,SRZ,-29.26,1.34,1.09,19.65,13.87,"Year: 1965
Mean change: 1.3%
SD: ±13.9%"
1966,historical,GPZi,-17.31,0.94,2.81,11.06,8.8,"Year: 1966
Mean change: 0.9%
SD: ±8.8%"
1966,historical,GPZii,-16.1,-3.38,-2.38,12.3,8.58,"Year: 1966
Mean change: -3.4%
SD: ±8.6%"
1966,historical,GPZiii,-40.46,9.52,6.37,64.76,28.5,"Year: 1966
Mean change: 9.5%
SD: ±28.5%"
1966,historical,KRZ,-27.74,1.46,2.88,18.22,13.05,"Year: 1966
Mean change: 1.5%
SD: ±13.1%"
1966,historical,SOSS,-31.64,-9.44,-8.1,2.46,9.88,"Year: 1966
Mean change: -9.4%
SD: ±9.9%"
1966,historical,SRZ,-28.06,5.09,5.24,45.95,19.55,"Year: 1966
Mean change: 5.1%
SD: ±19.6%"
1967,historical,GPZi,-16.71,-0.29,1.17,15.63,10.12,"Year: 1967
Mean change: -0.3%
SD: ±10.1%"
1967,historical,GPZii,-22.62,3.21,0.07,28.2,14.18,"Year: 1967
Mean change: 3.2%
SD: ±14.2%"
