year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2062,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.02,-3.18,-5.71,9.62,6.76
2062,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.53,-7.1,-8.45,-0.15,4.65
2063,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-14.75,-6.61,-5.77,1.16,4.45
2063,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.53,-6.53,-6.85,4.23,5.31
2064,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.3,-5.68,-5.58,0.48,3.66
2064,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.45,-8.21,-8.33,-0.07,5.33
2065,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.35,-4.17,-4.56,2.83,3.44
2065,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.9,-7.39,-8.54,4.75,7.23
2066,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.14,-2.02,-1.93,4.61,4.17
2066,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-22.38,-7.97,-7.78,4.3,7.5
2067,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.07,-3.44,-2.96,2.87,3.91
2067,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.15,-8.65,-8.89,0.46,5.51
2068,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.17,-6.39,-6.02,-4.15,2.09
2068,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.76,-8.74,-9.65,0.47,5.7
2069,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.65,-5.39,-5.48,-0.62,2.75
2069,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.43,-8.72,-9.87,4,6.07
2070,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.32,-4.36,-3.6,-1.56,2.49
2070,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.79,-9.92,-11.28,0.91,6.09
2071,ssp126,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.1,-2.59,-2.02,3.53,3.91
2071,ssp585,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.79,-11.2,-11.73,-1.34,6
