year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
2075,ssp585,Africa,Prince Edward Island,Prince Edward Island,-34.35,-11.72,-10.25,4.28,12.74
2076,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.57,-5.63,-5.78,4.23,7.04
2076,ssp585,Africa,Prince Edward Island,Prince Edward Island,-30.67,-11.88,-10.63,4.84,11.75
2077,ssp126,Africa,Prince Edward Island,Prince Edward Island,-22.01,-4.58,-6.06,11.16,9.27
2077,ssp585,Africa,Prince Edward Island,Prince Edward Island,-36.39,-13.2,-12.19,4.04,12.72
2078,ssp126,Africa,Prince Edward Island,Prince Edward Island,-13.33,-6.19,-6.45,0.18,4.58
2078,ssp585,Africa,Prince Edward Island,Prince Edward Island,-33.15,-11.92,-12.06,3.08,12.55
2079,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.16,-6.48,-6.84,2.37,5.87
2079,ssp585,Africa,Prince Edward Island,Prince Edward Island,-35.98,-11,-11.46,11.01,13.81
2080,ssp126,Africa,Prince Edward Island,Prince Edward Island,-16.1,-6.69,-6.62,1.56,5.49
2080,ssp585,Africa,Prince Edward Island,Prince Edward Island,-35.01,-9.6,-9.95,12.06,14.04
2081,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.59,-6.73,-6.5,6.48,7.47
2081,ssp585,Africa,Prince Edward Island,Prince Edward Island,-31.54,-8.35,-8.77,7.36,12.98
2082,ssp126,Africa,Prince Edward Island,Prince Edward Island,-21.65,-7.87,-7.94,3.01,7.37
2082,ssp585,Africa,Prince Edward Island,Prince Edward Island,-31.97,-10.45,-8.84,7.88,12.79
2083,ssp126,Africa,Prince Edward Island,Prince Edward Island,-24.41,-8.12,-6.94,-1.32,6.61
2083,ssp585,Africa,Prince Edward Island,Prince Edward Island,-30.77,-11.13,-11.27,3.73,11.74
2084,ssp126,Africa,Prince Edward Island,Prince Edward Island,-13.99,-4.89,-4.34,6.01,5.61
2084,ssp585,Africa,Prince Edward Island,Prince Edward Island,-40.58,-15.47,-14.76,2.93,14.79
2085,ssp126,Africa,Prince Edward Island,Prince Edward Island,-12.78,-4.55,-4.79,6.36,5.34
2085,ssp585,Africa,Prince Edward Island,Prince Edward Island,-40.59,-15.61,-15.1,5.88,14.34
2086,ssp126,Africa,Prince Edward Island,Prince Edward Island,-25.16,-5.72,-6.23,2.98,8.1
2086,ssp585,Africa,Prince Edward Island,Prince Edward Island,-38.76,-16.26,-15.24,1.25,13.77
2087,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.95,-4.03,-3.77,1.78,4.42
2087,ssp585,Africa,Prince Edward Island,Prince Edward Island,-29.19,-12.45,-13.32,7.46,12.15
2088,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.76,-5.42,-5.72,2.04,5.8
2088,ssp585,Africa,Prince Edward Island,Prince Edward Island,-36.88,-13.18,-12.99,4.92,13.92
2089,ssp126,Africa,Prince Edward Island,Prince Edward Island,-16.56,-4.39,-3.74,4.08,6.26
2089,ssp585,Africa,Prince Edward Island,Prince Edward Island,-37.85,-15.28,-15.14,1.56,13.64
2090,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.8,-5.52,-5.74,5.89,6.73
2090,ssp585,Africa,Prince Edward Island,Prince Edward Island,-36.6,-15.56,-13.83,0.27,12.37
2091,ssp126,Africa,Prince Edward Island,Prince Edward Island,-19.85,-7.86,-7.18,-0.78,5.76
2091,ssp585,Africa,Prince Edward Island,Prince Edward Island,-43.54,-16.42,-14.43,2.7,14.89
2092,ssp126,Africa,Prince Edward Island,Prince Edward Island,-15.25,-7.6,-6.69,-2.47,4.41
2092,ssp585,Africa,Prince Edward Island,Prince Edward Island,-35.26,-14.02,-14.99,4.81,14.78
2093,ssp126,Africa,Prince Edward Island,Prince Edward Island,-17.34,-7.21,-7.39,0.12,4.99
2093,ssp585,Africa,Prince Edward Island,Prince Edward Island,-41.01,-15.42,-15.47,6.75,15.68
2094,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.8,-7.65,-8.06,1.25,5.42
2094,ssp585,Africa,Prince Edward Island,Prince Edward Island,-39.47,-14.63,-15.27,7.78,15.77
2095,ssp126,Africa,Prince Edward Island,Prince Edward Island,-14.07,-5.27,-3.9,1.5,4.74
2095,ssp585,Africa,Prince Edward Island,Prince Edward Island,-40.69,-15.54,-15.6,5.21,15.4
2096,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.29,-5.73,-5.87,0.14,4.16
2096,ssp585,Africa,Prince Edward Island,Prince Edward Island,-43.94,-16.95,-17.2,3.43,16.22
2097,ssp126,Africa,Prince Edward Island,Prince Edward Island,-22.59,-9.94,-8.24,-3.38,6.12
2097,ssp585,Africa,Prince Edward Island,Prince Edward Island,-43.36,-17.14,-18.01,3.71,16.23
2098,ssp126,Africa,Prince Edward Island,Prince Edward Island,-21.01,-9.45,-9.49,0.63,6.23
2098,ssp585,Africa,Prince Edward Island,Prince Edward Island,-36.91,-15.39,-17.2,6.78,14.73
2099,ssp126,Africa,Prince Edward Island,Prince Edward Island,-18.23,-7.07,-5.87,-1,5.35
2099,ssp585,Africa,Prince Edward Island,Prince Edward Island,-38.59,-16.2,-15.87,1.68,14.19
2100,ssp126,Africa,Prince Edward Island,Prince Edward Island,-15.21,-7.84,-8.65,4.57,6.11
2100,ssp585,Africa,Prince Edward Island,Prince Edward Island,-47.6,-17.43,-15.51,2.09,15.98
