year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
2089,ssp585,"Indian Ocean, Antarctic",-16.98,-8.07,-9.41,5.34,6.85
2090,ssp126,"Indian Ocean, Antarctic",-10.55,-3.86,-4.19,5.15,3.85
2090,ssp585,"Indian Ocean, Antarctic",-16.32,-7.05,-8.46,4.82,7.31
2091,ssp126,"Indian Ocean, Antarctic",-10.66,-3.09,-3.3,5.88,4.95
2091,ssp585,"Indian Ocean, Antarctic",-16.76,-7.05,-8.31,5.87,7.63
2092,ssp126,"Indian Ocean, Antarctic",-10.76,-4.31,-4.08,3.73,3.89
2092,ssp585,"Indian Ocean, Antarctic",-17.95,-7.61,-9.11,5.86,7.92
2093,ssp126,"Indian Ocean, Antarctic",-10.85,-3.43,-3.04,2.68,3.45
2093,ssp585,"Indian Ocean, Antarctic",-15.85,-6.3,-8.46,9.33,8.54
2094,ssp126,"Indian Ocean, Antarctic",-10.82,-4.46,-4.56,2.9,3.97
2094,ssp585,"Indian Ocean, Antarctic",-18.09,-6.69,-7.72,10.02,9.3
2095,ssp126,"Indian Ocean, Antarctic",-10.83,-3.32,-3.11,1.69,4.05
2095,ssp585,"Indian Ocean, Antarctic",-16.71,-7.17,-9.54,7.04,8.18
2096,ssp126,"Indian Ocean, Antarctic",-12.47,-5.03,-4.34,2.64,5.3
2096,ssp585,"Indian Ocean, Antarctic",-19.63,-8.15,-9.61,8.42,8.86
2097,ssp126,"Indian Ocean, Antarctic",-13.21,-6.75,-5.98,1.88,4.34
2097,ssp585,"Indian Ocean, Antarctic",-19.92,-8.04,-8.24,9.91,9.19
2098,ssp126,"Indian Ocean, Antarctic",-13.07,-6.4,-5.86,2.98,4.96
2098,ssp585,"Indian Ocean, Antarctic",-22.12,-8.59,-9.01,11.01,9.74
2099,ssp126,"Indian Ocean, Antarctic",-11.71,-5.52,-4.94,0.58,3.78
2099,ssp585,"Indian Ocean, Antarctic",-22.88,-9.93,-10.05,6.08,8.76
2100,ssp126,"Indian Ocean, Antarctic",-11.54,-5.49,-5.07,-0.04,3.07
2100,ssp585,"Indian Ocean, Antarctic",-19.19,-9.51,-12.96,8.12,9.24
