year,scenario,subregion,min_change,mean_change,median_change,max_change,sd_change,tooltip
1960,historical,486,-14.29,-2.9,-2.92,4.77,4.98,"Year: 1960
Mean change: -2.9%
SD: ±5%"
1960,historical,5841,-10.74,-3.59,-2.42,2.76,4.89,"Year: 1960
Mean change: -3.6%
SD: ±4.9%"
1960,historical,5842,-7.47,2.74,0.3,14.54,8.68,"Year: 1960
Mean change: 2.7%
SD: ±8.7%"
1960,historical,5843a,-14.24,-0.73,-0.79,9.42,8.61,"Year: 1960
Mean change: -0.7%
SD: ±8.6%"
1960,historical,5843b,-9.45,3.25,2.37,15.07,7.46,"Year: 1960
Mean change: 3.2%
SD: ±7.5%"
1960,historical,5844a,-24.3,-5.05,-2.68,1.15,7,"Year: 1960
Mean change: -5%
SD: ±7%"
1960,historical,5844b,-29.19,-5.2,-2.37,4.59,9.12,"Year: 1960
Mean change: -5.2%
SD: ±9.1%"
1960,historical,5851,-14.43,-3.45,-2.06,3.46,5.43,"Year: 1960
Mean change: -3.5%
SD: ±5.4%"
1960,historical,5852,-15.15,-3.69,-0.88,4.93,7.61,"Year: 1960
Mean change: -3.7%
SD: ±7.6%"
1960,historical,586,-24.25,-1.41,-1.11,9.51,9.07,"Year: 1960
Mean change: -1.4%
SD: ±9.1%"
1960,historical,587,-16.07,2.15,1.02,13.17,8.15,"Year: 1960
Mean change: 2.1%
SD: ±8.2%"
1960,historical,881,-20.24,-1.83,-1.14,10.38,9.67,"Year: 1960
Mean change: -1.8%
SD: ±9.7%"
1960,historical,882,-4.89,-0.56,-1.68,4.43,3.01,"Year: 1960
Mean change: -0.6%
SD: ±3%"
1960,historical,883,-5.35,-0.04,-3.13,24.9,9.07,"Year: 1960
Mean change: 0%
SD: ±9.1%"
1961,historical,481,-22.43,-4.7,-4.63,8.83,9.98,"Year: 1961
Mean change: -4.7%
SD: ±10%"
1961,historical,482,-28.58,-8.41,-6.95,1.52,9.51,"Year: 1961
Mean change: -8.4%
SD: ±9.5%"
1961,historical,483,-10.46,-0.22,0.64,7.91,5.35,"Year: 1961
Mean change: -0.2%
SD: ±5.3%"
1961,historical,484,-18.03,-5.46,-4.66,5.48,6.56,"Year: 1961
Mean change: -5.5%
SD: ±6.6%"
1961,historical,485,-23.48,-8.03,-8.96,16.8,12.7,"Year: 1961
Mean change: -8%
SD: ±12.7%"
1961,historical,486,-13.97,-5.51,-4.67,5.88,5.62,"Year: 1961
Mean change: -5.5%
SD: ±5.6%"
1961,historical,5841,-10.37,-2.82,-0.93,2.75,5.03,"Year: 1961
Mean change: -2.8%
SD: ±5%"
1961,historical,5842,-6.32,2.52,0.1,13.2,7.53,"Year: 1961
Mean change: 2.5%
SD: ±7.5%"
1961,historical,5843a,-13.77,-4.17,-2.95,1.27,4.37,"Year: 1961
Mean change: -4.2%
SD: ±4.4%"
1961,historical,5843b,-9.37,-1.98,-2.59,10.13,5.73,"Year: 1961
Mean change: -2%
SD: ±5.7%"
1961,historical,5844a,-23.97,-6.63,-5.16,-2.42,6.4,"Year: 1961
Mean change: -6.6%
SD: ±6.4%"
1961,historical,5844b,-29.04,-6.64,-5.04,-1.7,8.03,"Year: 1961
Mean change: -6.6%
SD: ±8%"
1961,historical,5851,-15.3,-2.72,-1.54,2.94,5.07,"Year: 1961
Mean change: -2.7%
SD: ±5.1%"
1961,historical,5852,-14.68,-3.71,-1.98,1.95,5.61,"Year: 1961
Mean change: -3.7%
SD: ±5.6%"
1961,historical,586,-23.31,-3.66,-1.4,2.28,7.47,"Year: 1961
Mean change: -3.7%
SD: ±7.5%"
1961,historical,587,-14.43,-0.61,0.13,10.19,6.24,"Year: 1961
Mean change: -0.6%
SD: ±6.2%"
1961,historical,881,-17.8,-5.58,-3.79,2.47,6.81,"Year: 1961
Mean change: -5.6%
SD: ±6.8%"
1961,historical,882,-2.96,-0.82,-1.97,3.68,2.43,"Year: 1961
Mean change: -0.8%
SD: ±2.4%"
