year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip
1989,historical,Kerguelen Islands,-5.52,-0.76,-1.36,5.79,4.02,"Year: 1989
Mean change: -0.8%
SD: ±4%"
1989,historical,Prince Edward Islands,-9.65,-0.11,-0.4,8.97,5.51,"Year: 1989
Mean change: -0.1%
SD: ±5.5%"
1990,historical,Crozet Islands,-8.69,-0.64,-2.24,8.81,5.9,"Year: 1990
Mean change: -0.6%
SD: ±5.9%"
1990,historical,Heard Island and McDonald Islands,-4.08,-0.9,-2.47,5.48,3.68,"Year: 1990
Mean change: -0.9%
SD: ±3.7%"
1990,historical,Kerguelen Islands,-6.14,-1.29,-2.84,6.02,4.15,"Year: 1990
Mean change: -1.3%
SD: ±4.2%"
1990,historical,Prince Edward Islands,-10.37,1.15,-0.86,17.53,8.44,"Year: 1990
Mean change: 1.1%
SD: ±8.4%"
1991,historical,Crozet Islands,-8.25,0.64,1.43,9.75,5.81,"Year: 1991
Mean change: 0.6%
SD: ±5.8%"
1991,historical,Heard Island and McDonald Islands,-7.92,-0.51,-0.76,5.91,3.99,"Year: 1991
Mean change: -0.5%
SD: ±4%"
1991,historical,Kerguelen Islands,-5.48,0.58,0.24,6.04,3.55,"Year: 1991
Mean change: 0.6%
SD: ±3.5%"
1991,historical,Prince Edward Islands,-10.59,0.77,0.69,8.33,5.6,"Year: 1991
Mean change: 0.8%
SD: ±5.6%"
1992,historical,Crozet Islands,-7.76,-2.18,-2.72,6.43,4.33,"Year: 1992
Mean change: -2.2%
SD: ±4.3%"
1992,historical,Heard Island and McDonald Islands,-7.14,-1.61,-2.89,5.85,5.12,"Year: 1992
Mean change: -1.6%
SD: ±5.1%"
1992,historical,Kerguelen Islands,-10.57,-1.77,-2.47,5.74,5.71,"Year: 1992
Mean change: -1.8%
SD: ±5.7%"
1992,historical,Prince Edward Islands,-10.3,-2.69,-4.41,8.14,5.58,"Year: 1992
Mean change: -2.7%
SD: ±5.6%"
1993,historical,Crozet Islands,-6.07,0.15,0.88,5.39,3.33,"Year: 1993
Mean change: 0.1%
SD: ±3.3%"
1993,historical,Heard Island and McDonald Islands,-6.98,0.06,-0.3,6.2,4.03,"Year: 1993
Mean change: 0.1%
SD: ±4%"
1993,historical,Kerguelen Islands,-5.54,-0.06,-0.24,3.94,3.1,"Year: 1993
Mean change: -0.1%
SD: ±3.1%"
1993,historical,Prince Edward Islands,-9.81,0.79,1.74,7.03,4.29,"Year: 1993
Mean change: 0.8%
SD: ±4.3%"
1994,historical,Crozet Islands,-4.41,0.67,0.04,6.62,3.76,"Year: 1994
Mean change: 0.7%
SD: ±3.8%"
1994,historical,Heard Island and McDonald Islands,-7.23,-0.41,0.17,3.59,3.24,"Year: 1994
Mean change: -0.4%
SD: ±3.2%"
1994,historical,Kerguelen Islands,-2.07,0.71,-0.53,5.75,2.73,"Year: 1994
Mean change: 0.7%
SD: ±2.7%"
1994,historical,Prince Edward Islands,-9.14,0.04,2.09,5.79,4.82,"Year: 1994
Mean change: 0%
SD: ±4.8%"
1995,historical,Crozet Islands,-4.64,0.6,1.04,6.97,4.29,"Year: 1995
Mean change: 0.6%
SD: ±4.3%"
1995,historical,Heard Island and McDonald Islands,-7.94,-0.28,0.39,3.5,3.74,"Year: 1995
Mean change: -0.3%
SD: ±3.7%"
1995,historical,Kerguelen Islands,-6.69,0.63,1.26,4.54,3.27,"Year: 1995
Mean change: 0.6%
SD: ±3.3%"
1995,historical,Prince Edward Islands,-8.87,1.16,1.99,5.91,4.59,"Year: 1995
Mean change: 1.2%
SD: ±4.6%"
1996,historical,Crozet Islands,-11.15,-2.13,-2.52,3.66,4.22,"Year: 1996
Mean change: -2.1%
SD: ±4.2%"
1996,historical,Heard Island and McDonald Islands,-8.26,-2.62,-2.98,2.66,3.64,"Year: 1996
Mean change: -2.6%
SD: ±3.6%"
1996,historical,Kerguelen Islands,-9.19,-3.53,-3.35,1.75,4.03,"Year: 1996
Mean change: -3.5%
SD: ±4%"
1996,historical,Prince Edward Islands,-8.76,-1.51,-1.81,4.43,4.21,"Year: 1996
Mean change: -1.5%
SD: ±4.2%"
1997,historical,Crozet Islands,-4.62,0.77,-0.17,14.04,5.2,"Year: 1997
Mean change: 0.8%
SD: ±5.2%"
1997,historical,Heard Island and McDonald Islands,-2.92,2.3,1.41,11.26,4.09,"Year: 1997
Mean change: 2.3%
SD: ±4.1%"
1997,historical,Kerguelen Islands,-7.72,0.63,1.23,13.37,5.93,"Year: 1997
Mean change: 0.6%
SD: ±5.9%"
1997,historical,Prince Edward Islands,-7.58,1.32,0.5,14.05,5.42,"Year: 1997
Mean change: 1.3%
SD: ±5.4%"
1998,historical,Crozet Islands,-4.93,-0.12,0.41,3.74,2.63,"Year: 1998
Mean change: -0.1%
SD: ±2.6%"
1998,historical,Heard Island and McDonald Islands,-4.48,0.01,-0.3,4.38,3.07,"Year: 1998
Mean change: 0%
SD: ±3.1%"
1998,historical,Kerguelen Islands,-5.44,-0.8,-0.31,2.79,2.41,"Year: 1998
Mean change: -0.8%
SD: ±2.4%"
1998,historical,Prince Edward Islands,-6.13,-0.35,0.3,3.6,3.17,"Year: 1998
Mean change: -0.3%
SD: ±3.2%"
1999,historical,Crozet Islands,-5.5,-0.76,-1.34,5.67,3.51,"Year: 1999
Mean change: -0.8%
SD: ±3.5%"
1999,historical,Heard Island and McDonald Islands,-2.61,1.06,0.93,5.23,2.15,"Year: 1999
Mean change: 1.1%
SD: ±2.1%"
1999,historical,Kerguelen Islands,-2.9,-0.9,-1.04,1.44,1.48,"Year: 1999
Mean change: -0.9%
SD: ±1.5%"
1999,historical,Prince Edward Islands,-6.46,-2.41,-2.38,2.47,3.18,"Year: 1999
Mean change: -2.4%
SD: ±3.2%"
