year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
2030,ssp126,-7,-2.09,-2.35,3.74,2.98,Atlantic,"Year: 2030
Mean change: -2.1%
SD: ±3%"
2030,ssp585,-6.3,-1.03,-0.45,0.96,2.07,Atlantic,"Year: 2030
Mean change: -1%
SD: ±2.1%"
2031,ssp126,-8.78,-0.13,0.26,9.02,5.16,Atlantic,"Year: 2031
Mean change: -0.1%
SD: ±5.2%"
2031,ssp585,-7.04,-1.7,-1.49,2.79,2.93,Atlantic,"Year: 2031
Mean change: -1.7%
SD: ±2.9%"
2032,ssp126,-4.11,-0.48,-0.69,3.2,2.22,Atlantic,"Year: 2032
Mean change: -0.5%
SD: ±2.2%"
2032,ssp585,-8.57,-3.56,-3.97,0.76,2.96,Atlantic,"Year: 2032
Mean change: -3.6%
SD: ±3%"
2033,ssp126,-6.25,-2.11,-1.99,2.62,2.9,Atlantic,"Year: 2033
Mean change: -2.1%
SD: ±2.9%"
2033,ssp585,-9.57,-2.35,-2.09,6.25,4.08,Atlantic,"Year: 2033
Mean change: -2.4%
SD: ±4.1%"
2034,ssp126,-6.23,-1.38,-1.34,2.24,2.24,Atlantic,"Year: 2034
Mean change: -1.4%
SD: ±2.2%"
2034,ssp585,-5.48,-1.41,-1.8,3.12,2.59,Atlantic,"Year: 2034
Mean change: -1.4%
SD: ±2.6%"
2035,ssp126,-8.41,-2.45,-2.43,1.74,2.9,Atlantic,"Year: 2035
Mean change: -2.5%
SD: ±2.9%"
2035,ssp585,-2.57,-0.44,-1.29,5.66,2.45,Atlantic,"Year: 2035
Mean change: -0.4%
SD: ±2.5%"
2036,ssp126,-2.79,1.15,-0.33,10.98,5.25,Atlantic,"Year: 2036
Mean change: 1.1%
SD: ±5.2%"
2036,ssp585,-2.37,-0.21,-0.94,3.55,1.92,Atlantic,"Year: 2036
Mean change: -0.2%
SD: ±1.9%"
2037,ssp126,-2.67,-0.73,-1.39,5.38,2.29,Atlantic,"Year: 2037
Mean change: -0.7%
SD: ±2.3%"
2037,ssp585,-3.12,-0.34,-1.38,6.16,2.76,Atlantic,"Year: 2037
Mean change: -0.3%
SD: ±2.8%"
2038,ssp126,-5.89,-0.45,-0.83,3.84,3.14,Atlantic,"Year: 2038
Mean change: -0.4%
SD: ±3.1%"
2038,ssp585,-2.93,0.14,-0.91,6.75,2.87,Atlantic,"Year: 2038
Mean change: 0.1%
SD: ±2.9%"
2039,ssp126,-2.57,1.83,0.57,8.32,3.93,Atlantic,"Year: 2039
Mean change: 1.8%
SD: ±3.9%"
2039,ssp585,-3.73,-0.12,-0.45,4.58,2.76,Atlantic,"Year: 2039
Mean change: -0.1%
SD: ±2.8%"
2040,ssp126,-6.67,0.42,-1.42,10.09,5.77,Atlantic,"Year: 2040
Mean change: 0.4%
SD: ±5.8%"
2040,ssp585,-5.1,-1.11,-1.17,4.62,3.29,Atlantic,"Year: 2040
Mean change: -1.1%
SD: ±3.3%"
2041,ssp126,-4.95,1.11,-0.31,10.5,5.59,Atlantic,"Year: 2041
Mean change: 1.1%
SD: ±5.6%"
2041,ssp585,-4.91,-1.93,-2.61,3.08,2.76,Atlantic,"Year: 2041
Mean change: -1.9%
SD: ±2.8%"
2042,ssp126,-4.83,-1.32,-1.53,6.05,3.2,Atlantic,"Year: 2042
Mean change: -1.3%
SD: ±3.2%"
2042,ssp585,-4.6,0.3,0.34,5.17,2.98,Atlantic,"Year: 2042
Mean change: 0.3%
SD: ±3%"
2043,ssp126,-6.71,-1.75,-1.95,6.76,4.1,Atlantic,"Year: 2043
Mean change: -1.8%
SD: ±4.1%"
2043,ssp585,-4.7,-1.68,-2.23,3.77,2.51,Atlantic,"Year: 2043
Mean change: -1.7%
SD: ±2.5%"
2044,ssp126,-5.02,-0.26,-0.1,5.88,3.09,Atlantic,"Year: 2044
Mean change: -0.3%
SD: ±3.1%"
2044,ssp585,-4.66,0.78,1.19,5.57,3.21,Atlantic,"Year: 2044
Mean change: 0.8%
SD: ±3.2%"
2045,ssp126,-4.92,-0.84,-0.85,4.06,3.32,Atlantic,"Year: 2045
Mean change: -0.8%
SD: ±3.3%"
2045,ssp585,-5.76,-1.03,-1.26,7.38,3.78,Atlantic,"Year: 2045
Mean change: -1%
SD: ±3.8%"
2046,ssp126,-8.1,-0.51,-0.77,5.58,4.28,Atlantic,"Year: 2046
Mean change: -0.5%
SD: ±4.3%"
2046,ssp585,-4.3,1.69,-0.63,9.49,4.89,Atlantic,"Year: 2046
Mean change: 1.7%
SD: ±4.9%"
2047,ssp126,-6.35,-2.1,-2.3,5.83,3.68,Atlantic,"Year: 2047
Mean change: -2.1%
SD: ±3.7%"
2047,ssp585,-4.27,2.3,2.36,9.66,4.36,Atlantic,"Year: 2047
Mean change: 2.3%
SD: ±4.4%"
2048,ssp126,-5.7,1.05,0.1,7.4,4.23,Atlantic,"Year: 2048
Mean change: 1%
SD: ±4.2%"
2048,ssp585,-4.34,0.53,-0.25,6.43,3.25,Atlantic,"Year: 2048
Mean change: 0.5%
SD: ±3.2%"
2049,ssp126,-5.92,-0.54,-0.98,8.74,4.06,Atlantic,"Year: 2049
Mean change: -0.5%
SD: ±4.1%"
2049,ssp585,-6.53,-2.27,-2.28,5.46,3.41,Atlantic,"Year: 2049
Mean change: -2.3%
SD: ±3.4%"
2050,ssp126,-6.66,-0.81,-0.88,6.29,4.17,Atlantic,"Year: 2050
Mean change: -0.8%
SD: ±4.2%"
2050,ssp585,-4.92,-0.27,-0.93,4.84,2.85,Atlantic,"Year: 2050
Mean change: -0.3%
SD: ±2.9%"
2051,ssp126,-7.69,-0.41,0.16,7.72,3.97,Atlantic,"Year: 2051
Mean change: -0.4%
SD: ±4%"
2051,ssp585,-5.65,1.52,0.22,12.13,5.3,Atlantic,"Year: 2051
Mean change: 1.5%
SD: ±5.3%"
2052,ssp126,-8.72,0.23,-1.32,9.79,6.23,Atlantic,"Year: 2052
Mean change: 0.2%
SD: ±6.2%"
2052,ssp585,-6.11,0.96,-0.44,6.91,4.19,Atlantic,"Year: 2052
Mean change: 1%
SD: ±4.2%"
2053,ssp126,-9.67,-0.64,-0.71,7.1,5.27,Atlantic,"Year: 2053
Mean change: -0.6%
SD: ±5.3%"
2053,ssp585,-6.45,-0.15,-0.63,7.29,3.61,Atlantic,"Year: 2053
Mean change: -0.1%
SD: ±3.6%"
2054,ssp126,-10.44,-0.5,-1.28,5.46,4.82,Atlantic,"Year: 2054
Mean change: -0.5%
SD: ±4.8%"
2054,ssp585,-7.09,-0.35,-0.75,9.34,4.53,Atlantic,"Year: 2054
Mean change: -0.3%
SD: ±4.5%"
2055,ssp126,-11.15,-1.89,-1.45,6.12,5.65,Atlantic,"Year: 2055
Mean change: -1.9%
SD: ±5.7%"
2055,ssp585,-7.84,0.03,-1.72,9.47,5.62,Atlantic,"Year: 2055
Mean change: 0%
SD: ±5.6%"
2056,ssp126,-12.07,-1.42,-0.16,3.84,5.02,Atlantic,"Year: 2056
Mean change: -1.4%
SD: ±5%"
2056,ssp585,-8.33,1.71,1.26,9.11,5.34,Atlantic,"Year: 2056
Mean change: 1.7%
SD: ±5.3%"
2057,ssp126,-12.94,-1.68,-1.7,5.35,4.7,Atlantic,"Year: 2057
Mean change: -1.7%
SD: ±4.7%"
2057,ssp585,-8.52,0.26,-0.33,7.82,4.67,Atlantic,"Year: 2057
Mean change: 0.3%
SD: ±4.7%"
2058,ssp126,-13.37,-1.64,-1.7,7.14,5.62,Atlantic,"Year: 2058
Mean change: -1.6%
SD: ±5.6%"
2058,ssp585,-8.21,0.69,0.47,7.15,4.45,Atlantic,"Year: 2058
Mean change: 0.7%
SD: ±4.4%"
2059,ssp126,-13.52,-1.27,-1.58,7.22,6.35,Atlantic,"Year: 2059
Mean change: -1.3%
SD: ±6.3%"
